first_name,last_name,area_code,address_line,city,prev_read,curr_read
Sneha,Gupta,938865,Area-258,Patna,125,224
Anjali,Das,706033,Area-717,Chennai,50,64
Aman,Nair,548429,Area-152,Lucknow,187,198
Karan,Iyer,225956,Area-658,Patna,225,295
Sneha,Das,501442,Area-929,Chennai,61,96
Neha,Yadav,554716,Area-748,Lucknow,140,191
Priya,Sharma,943140,Area-895,Delhi,291,315
Neha,Reddy,886178,Area-261,Ahmedabad,62,108
Arjun,Iyer,770129,Area-440,Chennai,171,216
Karan,Verma,983129,Area-231,Patna,280,337
Aman,Yadav,516527,Area-57,Ahmedabad,53,67
Priya,Nair,724665,Area-343,Ahmedabad,66,158
Riya,Patel,140809,Area-326,Kochi,80,122
Karan,Singh,821659,Area-672,Kochi,112,170
Sneha,Iyer,383220,Area-225,Chennai,80,169
Aman,Das,803833,Area-187,Indore,58,96
Riya,Yadav,327589,Area-394,Indore,267,278
Sneha,Reddy,518611,Area-68,Bangalore,252,273
Riya,Reddy,130724,Area-466,Kolkata,65,82
Arjun,Gupta,988264,Area-281,Kolkata,99,146
Vikram,Das,680082,Area-954,Kochi,283,325
Anjali,Singh,507931,Area-868,Delhi,261,352
Karan,Yadav,264784,Area-802,Chennai,190,253
Sneha,Gupta,394086,Area-932,Lucknow,50,137
Riya,Singh,191219,Area-228,Ahmedabad,267,353
Rahul,Nair,399318,Area-20,Hyderabad,57,113
Arjun,Yadav,262465,Area-969,Delhi,58,140
Aman,Das,754536,Area-925,Delhi,147,201
Riya,Verma,335616,Area-443,Indore,159,175
Sneha,Nair,795876,Area-927,Delhi,122,139
Neha,Singh,387624,Area-929,Patna,151,192
Anjali,Iyer,740970,Area-947,Lucknow,271,334
Aman,Patel,930634,Area-917,Patna,143,161
Rahul,Verma,181378,Area-419,Ahmedabad,206,288
Priya,Iyer,968306,Area-508,Chennai,219,238
Neha,Verma,529058,Area-863,Indore,188,221
Karan,Patel,119488,Area-626,Bangalore,276,295
Rahul,Reddy,669992,Area-194,Indore,268,341
Vikram,Yadav,920041,Area-640,Chennai,230,278
Vikram,Patel,654850,Area-73,Chennai,243,267
Aman,Iyer,400096,Area-763,Delhi,168,230
Sneha,Nair,783069,Area-501,Indore,220,238
Neha,Reddy,269828,Area-681,Chennai,293,364
Priya,Patel,894995,Area-599,Lucknow,123,144
Riya,Yadav,579847,Area-765,Delhi,293,378
Sneha,Patel,583161,Area-813,Hyderabad,131,143
Priya,Das,740757,Area-591,Kolkata,127,187
Rahul,Patel,843848,Area-673,Kolkata,156,211
Arjun,Reddy,304282,Area-586,Chennai,262,332
Anjali,Sharma,354300,Area-215,Ahmedabad,230,273
Rahul,Singh,662780,Area-472,Bangalore,222,265
Anjali,Singh,388688,Area-738,Patna,80,150
Arjun,Yadav,290317,Area-995,Patna,127,167
Sneha,Iyer,590613,Area-83,Indore,145,239
Rahul,Iyer,429429,Area-594,Delhi,127,208
Neha,Singh,503446,Area-84,Ahmedabad,85,165
Neha,Nair,298029,Area-398,Kochi,173,236
Arjun,Gupta,866615,Area-844,Kochi,261,273
Karan,Nair,910421,Area-261,Hyderabad,181,205
Vikram,Sharma,505026,Area-387,Ahmedabad,145,159
Rahul,Singh,748946,Area-513,Chennai,230,265
Karan,Reddy,564443,Area-143,Indore,117,174
Sneha,Iyer,751610,Area-599,Bangalore,287,361
Priya,Singh,620104,Area-497,Bangalore,174,195
Arjun,Singh,317751,Area-928,Kochi,269,310
Priya,Das,702002,Area-790,Kochi,109,176
Vikram,Sharma,958958,Area-372,Lucknow,200,282
Rahul,Nair,162443,Area-968,Lucknow,207,286
Rahul,Singh,642934,Area-482,Indore,256,291
Vikram,Singh,190632,Area-845,Delhi,117,176
Neha,Singh,691147,Area-267,Kolkata,283,313
Anjali,Nair,575604,Area-576,Hyderabad,103,142
Karan,Nair,583144,Area-444,Indore,151,206
Vikram,Gupta,891740,Area-199,Kochi,110,147
Vikram,Verma,260046,Area-428,Indore,219,279
Vikram,Sharma,995515,Area-978,Kochi,68,125
Sneha,Yadav,851976,Area-724,Delhi,291,354
Vikram,Sharma,220851,Area-78,Indore,91,110
Neha,Das,938733,Area-310,Kolkata,97,171
Vikram,Reddy,176507,Area-912,Bangalore,217,268
Priya,Iyer,655765,Area-983,Ahmedabad,221,266
Aman,Iyer,991455,Area-828,Hyderabad,145,234
Riya,Das,848720,Area-633,Lucknow,122,202
Anjali,Patel,371448,Area-899,Indore,61,125
Karan,Das,750309,Area-386,Hyderabad,52,84
Sneha,Nair,801749,Area-774,Chennai,85,161
Aman,Iyer,806458,Area-819,Lucknow,62,156
Aman,Iyer,628668,Area-305,Patna,125,160
Riya,Patel,662153,Area-310,Indore,244,260
Aman,Iyer,759690,Area-456,Patna,135,192
Vikram,Reddy,196479,Area-176,Kochi,275,326
Vikram,Verma,382322,Area-465,Chennai,153,187
Sneha,Reddy,526785,Area-557,Lucknow,72,133
Anjali,Reddy,921668,Area-300,Ahmedabad,230,317
Aman,Verma,777559,Area-602,Bangalore,156,187
Riya,Gupta,163115,Area-42,Indore,162,199
Anjali,Reddy,624518,Area-51,Kolkata,263,334
Vikram,Nair,263958,Area-96,Hyderabad,121,219
Anjali,Reddy,795442,Area-466,Patna,174,246
Arjun,Patel,635929,Area-675,Indore,120,163
